NAME,STORE
Alabama,
Alaska,TRUE
Arizona,
Arkansas,
California,
Colorado,TRUE
Connecticut,TRUE
Delaware,TRUE
Florida,TRUE
Georgia,
Hawaii,TRUE
Idaho,
Illinois,TRUE
Indiana,
Iowa,
Kansas,TRUE
Kentucky,
Louisiana,
Maine,TRUE
Maryland,TRUE
Massachusetts,TRUE
Michigan,
Minnesota,
Mississippi,
Missouri,
Montana,
Nebraska,
Nevada,
New Hampshire,
New Jersey,
New Mexico,
New York,
North Carolina,TRUE
North Dakota,TRUE
Ohio,
Oklahoma,
Oregon,
Pennsylvania,
Rhode Island,TRUE
South Carolina,
South Dakota,
Tennessee,TRUE
Texas,TRUE
Utah,
Vermont,TRUE
Virginia,
Washington,
West Virginia,TRUE
Wisconsin,
Wyoming,
New England,TRUE